Source,Query URL,Frequency,Notes
LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer%20Intern%20Summer%202027&location=United%20States&f_JT=INTERNSHIP,Daily,Newest postings
Indeed,https://www.indeed.com/jobs?q=software+engineer+intern+summer+2027&l=United+States&sc=0kf%3Ajt(internship)%3B,Daily,Newest postings
Handshake,https://uiuc.joinhandshake.com/stu/postings?query=software%20engineer%20intern%20summer%202027,Daily,UIUC-specific roles
Simplify,https://simplify.jobs/search?q=software+engineer+intern&location=United+States,Daily,Startups and tech
BuiltIn,https://builtin.com/jobs/internships/software-engineer,Daily,Tech internships
Wellfound,https://wellfound.com/jobs?keyword=software+engineer+intern,Daily,Startup roles
YCombinator,https://www.workatastartup.com/,Weekly,YC startups
GitHub PittCSC,https://github.com/pittcsc/Summer2027-Internships,Weekly,Curated list
Google STEP Search,https://www.google.com/search?q=Google+STEP+internship+summer+2027+application,Weekly,Check opening
Microsoft Explore Search,https://www.google.com/search?q=Microsoft+Explore+internship+summer+2027+application,Weekly,Check opening
Meta University Search,https://www.google.com/search?q=Meta+University+SWE+intern+summer+2027+application,Weekly,Check eligibility
Amazon SDE Intern Search,https://www.google.com/search?q=Amazon+SDE+intern+summer+2027+application,Weekly,Check opening
Capital One Search,https://www.google.com/search?q=Capital+One+Technology+Internship+summer+2027,Weekly,Check opening
